"id","strat_name"
785,"Grant Lake"
786,"Grass Valley"
787,"Grassy Mountain"
788,"Graves Gap"
789,"Grayburg"
790,"Graylock"
791,"Grayson"
792,"Greasy Cove"
793,"Great Meadows"
794,"Green Ravine"
795,"Green River"
796,"Green Valley"
797,"Greenbrier"
798,"Greene"
799,"Greenhorn"
800,"Greensport"
801,"Greenvale Cove"
802,"Grimsby"
803,"Grizzly"
804,"Groos Quarry"
805,"Gros Ventre"
806,"Grossman"
807,"Grove"
808,"Grubstake"
809,"Gu Achi"
810,"Gualala"
811,"Gubik"
812,"Guilmette"
813,"Guinda"
814,"Gunflint Iron"
815,"Guttenberg"
817,"Guymard"
818,"Gypsum Spring"
819,"Kendall Sandstone"
820,"Hale"
821,"Hall Summit"
822,"Halleck"
823,"Hammer Creek Conglomerate"
824,"Hampshire"
825,"Hampton"
826,"Hanaver"
827,"Hance"
828,"Hanna"
829,"Hannah"
830,"Hannold Hill"
831,"Hanson Creek"
832,"Hardinsburg"
833,"Hardyston"
834,"Harebell"
835,"Harkless"
836,"Harlan"
837,"Harmony"
838,"Harney"
839,"Harold"
840,"Harpers"
841,"Harpersville"
842,"Harrell"
843,"Harrison"
844,"Hartselle"
845,"Hartshorne"
846,"Hasen Creek"
847,"Hatch Hill"
848,"Hatchetigbee"
849,"Hatter"
850,"Hattiesburg"
851,"Hawley"
852,"Hawthorn"
853,"Hay Ranch"
854,"Hayden"
855,"Haydon Peak"
856,"Haymond"
857,"Haynesville"
858,"Haystack Mountain"
859,"Hazel"
860,"Hazens Notch"
861,"Healy Creek"
862,"Heath"
863,"Hector"
864,"Heglar Canyon"
865,"Helderberg"
866,"Helenmode"
867,"Hell Creek"
868,"Hell-to-finish"
869,"Helms"
870,"Hemlock"
871,"Henefer"
872,"Henry"
873,"Henryhouse"
874,"Hermit"
875,"Hermitage"
876,"Hermosa"
877,"Hersey"
878,"Hershey"
879,"Hertha"
880,"Hess"
881,"Hex"
882,"Hickey"
883,"Hicks"
884,"Higginsville Limestone"
885,"Highgate"
886,"Highland Peak"
887,"Hildreths"
888,"Hilltop"
889,"Hinchman"
890,"Hinsdale"
891,"Hinton"
892,"Hoback"
893,"Hoko River"
894,"Holdenville"
895,"Holder"
896,"Holly Springs"
897,"Holston"
898,"Holts Summit"
899,"Hominy Peak"
900,"Honaker"
901,"Honaker Trail"
902,"Honey Bee"
903,"Honey Creek"
904,"Honeycut"
905,"Hoodoo"
906,"Hookton"
907,"Hoosac"
908,"Hopkinton"
909,"Hornbrook"
910,"Hornerstown"
911,"Horquilla"
912,"Horse Spring"
913,"Horseshoe Valley"
914,"Horton Creek"
915,"Hosston"
916,"Hothouse"
917,"House Mountain"
918,"Houy"
919,"Howard"
920,"Hoyt Dolomite"
921,"Huber"
922,"Hudspeth Cutoff"
923,"Hudspeth"
924,"Hueco Canyon"
925,"Hueco"
926,"Huerfano"
927,"Hughes Gap"
928,"Huichica"
929,"Hull"
930,"Humboldt"
931,"Humbug"
932,"Hungry Valley"
933,"Hunsaker Creek"
934,"Huntersville"
935,"Huntingdon"
936,"Huntley Mountain"
937,"Hurricane Mountain"
938,"Hurwal"
939,"Hyde"
940,"Hyndman"
941,"Iatan"
942,"Icebox"
944,"Indian Bluff"
945,"Indian Meadows"
946,"Indian Springs"
947,"Indian Well"
948,"Indio"
949,"Ingleside"
950,"Inkom"
951,"Inman"
952,"Inskip"
953,"Interlake"
954,"Inyan Kara"
955,"Iola"
956,"Ione"
957,"Ipewik"
958,"Iron Springs"
959,"Ironshire"
960,"Ironwood Iron"
961,"Iroquois"
962,"Isom"
964,"Ithaca"
965,"Itkilyariak"
966,"Ivishak"
967,"Iyoukeen"
968,"Jacalitos"
969,"Jackhammer"
970,"Jackson Bluff"
971,"Jackson"
972,"Jacksonburg"
973,"Jalama"
974,"James City"
975,"James"
976,"James Run"
977,"Jamestown"
978,"Java"
979,"Javelina"
980,"Jefferson"
981,"Jelm"
982,"Jemtland"
983,"Jens"
984,"Jessup"
985,"Jewell"
986,"Jim Pond"
987,"John Day"
988,"Johnnie"
989,"Johnson Gap"
990,"Johnson Peak"
991,"Johnson Spring"
993,"Joins"
994,"Joliet"
995,"Jordan"
996,"Jose"
997,"Judith River"
998,"Junction Creek"
999,"Juniata"
1000,"Kaguyak"
1001,"Kaibab"
1003,"Kaiparowits"
1004,"Kallander Creek"
1005,"Kalubik"
1007,"Kamishak"
1008,"Kanawha"
1009,"Kankakee"
1010,"Kanwaka"
1011,"Karheen"
1012,"Katalla"
1013,"Kate Peak"
1014,"Kayenta"
1015,"Kearney"
1016,"Keasey"
1017,"Keefer"
1018,"Keel"
1019,"Keeler Canyon"
1020,"Keevy Peak"
1021,"Keim"
1022,"Kelly Canyon"
1023,"Kelly Limestone"
1024,"Kelvin"
1025,"Kennett"
1026,"Kennicott"
1027,"Kent Island"
1028,"Kenwood"
1029,"Keokuk"
1030,"Kerbel"
1031,"Kerber"
1032,"Kern River"
1033,"Kettle"
1034,"Keyes"
1035,"Keyser Limestone"
1036,"Kialagvik"
1037,"Kiamichi"
1038,"Kibbey"
1039,"Kidderville"
1041,"Kimmswick"
